,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
10,Terrance Arceneaux,F,6-6,190.0,Houston,So,"Nov 13, 2003",Beaumont (TX),Beaumont United High School
37,L.J. Cryer,PG,6-1,190.0,Houston,Sr,"Oct 9, 2001",Katy (TX),Morton Ranch High School
56,Ja'Vier Francis,F,6-8,235.0,Houston,Jr,"Oct 20, 2003",New Orleans (LA),Montverde Academy
213,Mylik Wilson,PG,6-2,175.0,Houston,Sr,"Sep 20, 2000",Rayville (LA),Rayville High School
174,Jamal Shead,G,6-1,195.0,Houston,Sr,"Jul 24, 2002",Austin (TX),Manor High School
173,Emanuel Sharp,PG,6-3,205.0,Houston,So,"Mar 7, 2004",Riverview (FL),Bishop McLaughlin Catholic High School
166,J'Wan Roberts,F,6-7,230.0,Houston,Sr,"Sep 19, 2001",Killeen (TX),Shoemaker High School
49,Ryan Elvin,F,6-1,170.0,Houston,Sr,-,Philadelphia (PA),Cedar Ridge High School
199,"Ramon Walker, Jr.",F,6-4,210.0,Houston,So,-,Pearland (TX),Shadow Creek High School
47,Damian Dunn,SG,6-5,205.0,Houston,Jr,"May 15, 2001",Kinston (NC),Kinston High School
105,Cedric Lath,C,6-9,265.0,Houston,Fr,-,Abidjan,Balboa High School
195,Joseph Tugler,F,6-7,215.0,Houston,Fr,"May 16, 2005",Houston (TX),Cypress Falls High School
71,Conrad Hawley,GF,6-5,220.0,Iowa State,Jr,"Nov 25, 2002",Raymore (MO),Raymore-Peculiar High School
154,Jackson Paveletzke,G,6-2,175.0,Iowa State,So,-,Kimberly (WI),Kimberly High School
68,Jelani Hamilton,F,6-5,180.0,Iowa State,RS-Fr,-,Austell (GA),Joseph Wheeler High School
207,DeMarion Watson,F,6-7,215.0,Iowa State,So,"Dec 15, 2003",Minneapolis (MN),Totino-Grace High School
17,Omaha Biliew,F,6-8,215.0,Iowa State,Fr,"Sep 1, 2004",West Des Moines (IA),Waukee High School
91,Robert Jones,PF,6-10,250.0,Iowa State,Sr,"Jul 3, 2001",Prior Lake (MN),Prior Lake High School
61,Keshon Gilbert,G,6-4,190.0,Iowa State,Jr,"Jun 30, 2003",Las Vegas (NV),Durango High School
95,Cade Kelderman,G,6-1,170.0,Iowa State,Fr,-,Waukee (IA),Northwest High School
203,Hason Ward,C,6-9,225.0,Iowa State,Sr,"Sep 24, 2000",Welchman,Springfield Central High School
98,Tre King,PF,6-7,230.0,Iowa State,Sr,"Oct 1, 1999",Lexington (KY),Hargrave Military Academy
54,Kayden Fish,F,6-6,250.0,Iowa State,Fr,-,Kansas City (MO),Staley High School
137,Milan Momcilovic,FC,6-8,210.0,Iowa State,Fr,"Sep 22, 2004",Pewaukee (WI),Pewaukee High School
168,J.T. Rock,C,7-1,245.0,Iowa State,RS-Fr,"Mar 1, 2006",Sioux Falls (SD),Lincoln High School
89,Curtis Jones,G,6-4,175.0,Iowa State,Jr,"Oct 4, 2001",Saint Paul (MN),Cretin Derham Hall High School
108,Tamin Lipsey,G,6-1,200.0,Iowa State,So,"Jun 25, 2003",Ames (IA),Ames High School
139,Arterio Morris,PG,6-4,195.0,Kansas,So,"Mar 18, 2003",Dallas (TX),Justin F. Kimball High School
127,Jamari McDowell,G,6-4,180.0,Kansas,Fr,"Sep 21, 2004",Manvel (TX),Manvel High School
126,"Kevin McCullar, Jr.",PG,6-7,212.0,Kansas,Sr,"Mar 15, 2001",San Antonio (TX),Wagner High School
124,Charlie McCarthy,G,6-2,195.0,Kansas,So,-,Rancho Mirage (CA),Shadow Hills High School
81,Michael Jankovich,F,6-4,190.0,Kansas,Sr,-,Dallas (TX),Northfield Mount Hermon School
79,Elmarko Jackson,SG,6-3,195.0,Kansas,Fr,"Apr 13, 2004",Marlton (NJ),Academy of the New Church High School
19,Parker Braun,F,6-10,235.0,Kansas,Sr,"Jan 25, 2000",Overland Park (KS),Blue Valley Northwest High School
209,Dillon Wilhite,F,6-9,240.0,Kansas,Fr,-,San Diego (CA),Cathedral Catholic High School
36,Justin Cross,F,6-8,200.0,Kansas,Jr,-,Oak Park (IL),Woodstock Academy
29,Zach Clemence,F,6-11,230.0,Kansas,Jr,-,San Antonio (TX),Sunrise Christian Academy
44,Hunter Dickinson,C,7-2,260.0,Kansas,Sr,"Nov 25, 2000",Alexandria (VA),DeMatha Catholic High School
51,Wilder Evers,G,6-4,185.0,Kansas,So,-,Birmingham (AL),Oak Mountain High School
25,Patrick Cassidy,G,6-1,185.0,Kansas,Jr,-,Columbus (KS),Columbus Unified High School
59,Johnny Furphy,F,6-7,180.0,Kansas,Fr,"Dec 7, 2004",Melbourne,
24,Chris Carter,G,6-4,190.0,Kansas,So,-,Indio (CA),Shadow Hills High School
190,Nicolas Timberlake,G,6-4,195.0,Kansas,Sr,"Aug 18, 1998",Boston (MA),Kimball Union Academy
70,"Dajuan Harris, Jr.",G,6-2,170.0,Kansas,Sr,"Dec 11, 2000",Columbia (MO),Rock Bridge High School
2,K.J. Adams,PF,6-7,235.0,Kansas,Jr,"Apr 18, 2002",Austin (TX),Westlake High School
107,Taymont Lindsey,G,5-8,170.0,Kansas State,Sr,-,Kerens (TX),Kerens High School
6,Dai Dai Ames,PG,6-1,160.0,Kansas State,Fr,"Jun 2, 2005",Chicago (IL),Kenwood Academy
148,David NGuessan,C,6-9,215.0,Kansas State,Sr,"Jun 12, 2000",De Lier,Mt. Zion Prep
90,R.J. Jones,G,6-3,175.0,Kansas State,Fr,-,Corpus Christi (TX),Wasatch Academy
131,"Will McNair, Jr.",C,6-11,265.0,Kansas State,Sr,"May 25, 2000",Philadelphia (PA),Martin Luther King High School
23,Cam Carter,G,6-3,190.0,Kansas State,Jr,"Mar 17, 2003",Mouth of Wilson (VA),Oak Hill Academy
118,Taj Manning,PF,6-7,220.0,Kansas State,Fr,"Nov 20, 2003",Shawnee Mission (KS),La Lumiere School
53,Dorian Finister,G,6-5,190.0,Kansas State,So,"Nov 7, 2003",New Orleans (LA),Carver High School
165,Macaleab Rich,F,6-7,250.0,Kansas State,Fr,-,East St. Louis (IL),East St. Louis Lincoln High School
121,Mack Martin,F,6-7,215.0,Kansas State,Fr,-,Shawnee Mission (KS),Bishop Miege High School
93,Arthur Kaluma,F,6-7,225.0,Kansas State,Jr,"Mar 1, 2002",Irving (TX),Dream City Christian School
62,Ques Glover,G,6-0,180.0,Kansas State,Sr,-,Knoxville (TN),Bearden High School
157,Tylor Perry,PG,5-11,182.0,Kansas State,Sr,"Jan 17, 2001",Fort Coffee (OK),Springdale Har-Ber High School
30,Jerrell Colbert,C,6-10,235.0,Kansas State,So,"Aug 27, 2002",Pasadena (TX),Houston High School
113,Reid Lovelace,G,5-11,130.0,Oklahoma,Jr,-,Oklahoma City (OK),Crossings Christian School
31,Jacolb Cole,F,6-9,211.0,Oklahoma,Fr,"Jan 15, 2005",Bellaire (TX),Link Year Prep
76,John Hugley IV,PF,6-9,275.0,Oklahoma,Sr,"Nov 29, 2001",Lyndhurst (OH),Charles F. Brush High School
197,Milos Uzan,G,6-4,193.0,Oklahoma,So,"Dec 26, 2002",Las Vegas (NV),Desert Pines High School
146,Luke Northweather,C,6-11,232.0,Oklahoma,Fr,-,Jefferson City (MO),Blair Oaks High School
179,Rivaldo Soares,G,6-6,210.0,Oklahoma,Sr,-,Boston (MA),O'Bryant School of Mathematics & Science
63,Sam Godwin,F,6-10,226.0,Oklahoma,Sr,"Aug 28, 2001",Moore (OK),Southmoore High School
40,Le'tre Darthard,GF,6-4,190.0,Oklahoma,Sr,"Jan 12, 2000",Denton (TX),Hargrave Military Academy
138,Jalon Moore,F,6-7,222.0,Oklahoma,Jr,"Apr 10, 2003",Gardendale (AL),Gardendale High School
125,Javian McCollum,G,6-2,160.0,Oklahoma,Jr,"Mar 18, 2002",Fort Myers (FL),Fort Myers High School
100,Maks Klanjscek,G,6-5,202.0,Oklahoma,Sr,"Dec 15, 1999",Ljubljana,Hoosac School
153,Otega Oweh,SG,6-5,210.0,Oklahoma,So,-,Blairstown Township (NJ),Blair Academy
94,Yaya Keita,C,6-9,240.0,Oklahoma,So,-,St. Louis (MO),DeSmet Jesuit High School
140,Jake Moser,G,6-3,187.0,Oklahoma,Jr,-,Norman (OK),Loyola Academy
33,Kaden Cooper,F,6-5,190.0,Oklahoma,Fr,"May 20, 2004",Ada (OK),The Skill Factory
21,Naz Brown,G,6-0,181.0,Oklahoma State,So,"Sep 10, 2003",Fort Worth (TX),Coppell High School
27,Weston Church,G,6-3,180.0,Oklahoma State,Sr,"Mar 15, 2002",Fairview (OK),Fairview High School
133,Isaiah Miranda,C,7-1,220.0,Oklahoma State,Fr,"Jan 18, 2004",Pawtucket (RI),William E. Tolman High School
119,Brooks Manzer,G,6-3,190.0,Oklahoma State,Jr,"Oct 23, 2002",Edmond (OK),Edmond Memorial High School
120,Mike Marsh,C,6-10,250.0,Oklahoma State,Sr,-,West Columbia (SC),Gray Collegiate Academy
215,John-Michael Wright,G,6-1,190.0,Oklahoma State,Sr,"Feb 1, 2001",Fayetteville (NC),Fayetteville Christian
46,Connor Dow,F,6-6,200.0,Oklahoma State,Fr,-,Broken Arrow (OK),Broken Arrow High School
170,Carson Sager,SG,6-4,207.0,Oklahoma State,Sr,"Aug 27, 2001",Wichita (KS),Rider High School
212,Quion Williams,G,6-5,220.0,Oklahoma State,So,"Apr 27, 2005",Jonesboro (AR),Jonesboro High School
189,Bryce Thompson,SG,6-6,205.0,Oklahoma State,Sr,"Feb 26, 2002",Tulsa (OK),Booker T. Washington High School
96,Jamyron Keller,G,6-3,210.0,Oklahoma State,Fr,"Feb 17, 2005",Killeen (TX),Ellison High School
60,Brandon Garrison,F,6-11,245.0,Oklahoma State,Fr,"Mar 31, 2004",Oklahoma City (OK),Del City High School
74,Jarius Hicklen,G,6-4,180.0,Oklahoma State,Sr,"Oct 30, 2000",Dallas (TX),DeSoto High School
178,Javon Small,G,6-3,195.0,Oklahoma State,Jr,"Dec 19, 2002",Indianapolis (IN),AZ Compass Prep
123,Justin McBride,SF,6-8,230.0,Oklahoma State,Fr,"Jul 25, 2005",Garland (TX),Plano Senior High School
39,"Eric Dailey, Jr.",F,6-8,230.0,Oklahoma State,Fr,"Jan 15, 2004",Tampa (FL),IMG Academy
8,Avery Anderson III,PG,6-3,158.0,TCU,Sr,"Sep 26, 2000",Justin (TX),Northwest High School
149,Chuck O'Bannon Jr.,SF,6-7,220.0,TCU,Sr,"Mar 1, 1999",Las Vegas (NV),Bishop Gorman High School
144,"Jameer Nelson, Jr.",G,6-1,200.0,TCU,Sr,"Aug 7, 2001",Haverford (PA),The Haverford School
156,Micah Peavy,SF,6-7,215.0,TCU,Sr,"Jul 16, 2001",Houston (TX),Duncanville High School
182,Trey Stuart,G,6-1,168.0,TCU,So,"Apr 14, 2003",Weatherford (TX),Brock High School
132,Emanuel Miller,SF,6-7,215.0,TCU,Sr,"Jun 19, 2000",Unionville,Prolific Prep
32,Jakobe Coles,PF,6-7,216.0,TCU,Sr,-,Denton (TX),John H. Guyer High School
34,Xavier Cork,PF,6-9,230.0,TCU,Sr,"Mar 24, 2001",Sulphur Springs (TX),Sulphur Springs High School
117,Isaiah Manning,PF,6-7,180.0,TCU,Fr,-,Mansfield (TX),Mansfield Legacy High School
115,Tyler Lundblade,SG,6-6,207.0,TCU,Jr,"Dec 6, 2001",Grapeland (TX),Greensboro Day School
196,"Ernest Udeh, Jr.",C,6-11,350.0,TCU,So,"Jan 8, 2004",Orlando (FL),Dr. Phillips High School
42,Cole Despie,G,6-3,180.0,TCU,Jr,"Aug 21, 2002",San Jose (CA),Bellarmine College Preparatory
55,Darius Ford,G,5-10,142.0,TCU,Jr,"Nov 11, 2001",Fort Worth (TX),Dunbar High School
64,Zach Gonsoulin,G,6-0,157.0,TCU,So,"Aug 22, 2002",Houston (TX),IMG Academy
187,Trey Tennyson,G,6-4,180.0,TCU,Sr,-,Mansfield (OH),Mansfield Legacy High School
141,Essam Mostafa,C,6-9,250.0,TCU,Sr,"Aug 3, 1999",Cairo,Long Island Lutheran High School
159,Jace Posey,G,6-4,175.0,TCU,Fr,-,Houston (TX),Strake Jesuit College Preparatory
208,Chendall Weaver,G,6-3,180.0,Texas,So,"Oct 12, 2003",Arlington (TX),Mansfield Timberview High School
161,Devon Pryor,F,6-7,180.0,Texas,Fr,"Mar 16, 2005",Houston (TX),PSAT Academy
160,Jackson Prince,G,5-10,165.0,Texas,Fr,-,Duncanville (TX),Duncanville High School
175,Kadin Shedrick,PF,6-11,231.0,Texas,Sr,"Jul 27, 2001",Holly Springs (NC),Holly Springs High School
0,Max Abmas,GF,6-0,175.0,Texas,Sr,"Apr 2, 2001",Dallas (TX),Jesuit College Preparatory School of Dallas
152,Ze'Rik Onyema,F,6-8,235.0,Texas,Jr,-,San Antonio (TX),John Jay High School
158,Gavin Perryman,G,6-1,190.0,Texas,So,-,Dallas (TX),Jesuit College Preparatory School of Dallas
45,Dylan Disu,F,6-9,225.0,Texas,Sr,"Nov 12, 2000",Pflugerville (TX),Hendrickson High School
75,Ithiel Horton,PG,6-5,200.0,Texas,Sr,"Jun 26, 2000",Roselle (NJ),Roselle Catholic High School
135,Dillon Mitchell,F,6-8,205.0,Texas,So,"Oct 3, 2003",Spring Hill (FL),Montverde Academy
38,Brock Cunningham,PF,6-6,210.0,Texas,Sr,"Dec 13, 1998",Austin (TX),Westlake High School
7,Alex Anamekwe,F,6-5,200.0,Texas,So,-,McKinney (TX),McKinney High School
77,Tyrese Hunter,GF,6-0,175.0,Texas,Jr,"Aug 11, 2003",Racine (WI),St. Catherine's High School
18,Cole Bott,F,6-6,195.0,Texas,So,-,Highlands Ranch (CO),Northfield Mount Hermon School
84,Chris Johnson,SG,6-5,180.0,Texas,Fr,"Jul 13, 2004",Missouri City (TX),Montverde Academy
28,Preston Clark,F,6-6,220.0,Texas,Fr,-,Austin (TX),Westlake High School
216,Eemeli Yalaho,F,6-8,210.0,Texas Tech,Fr,"May 23, 2004",Jyvaskyla,Western Reserve Academy
78,Pop Isaacs Jr.,G,6-2,170.0,Texas Tech,So,"Aug 24, 2003",Las Vegas (NV),Coronado High School
180,Drew Steffe,G,6-5,180.0,Texas Tech,Fr,"May 13, 2004",Frisco (TX),Memorial High School
83,Robert Jennings,F,6-7,225.0,Texas Tech,So,"Dec 2, 2002",DeSoto (TX),Texas Alliance of Christian Athletes
22,Devan Cambridge,G,6-6,215.0,Texas Tech,Sr,"Jan 30, 2001",Athens (TN),Hillcrest Prep
201,Kerwin Walton,SG,6-5,200.0,Texas Tech,Sr,"Oct 20, 2001",Minneapolis (MN),Hopkins High School
204,Lamar Washington,SG,6-4,205.0,Texas Tech,So,"Aug 6, 2003",Portland (OR),AZ Compass Prep
205,Warren Washington,PF,7-0,225.0,Texas Tech,Sr,"Mar 3, 2000",Escondido (CA),Escondido High School
106,Kye Lindsay,F,6-8,205.0,Texas Tech,So,-,Denton (TX),John H. Guyer High School
130,Chance McMillian,G,6-3,185.0,Texas Tech,Sr,-,Napa (CA),Golden State Preparatory School
210,D'Maurian Williams,SF,6-3,200.0,Texas Tech,Sr,"Jul 3, 2001",Phoenix (AZ),Putnam Science Academy
211,Darrion Williams,F,6-6,210.0,Texas Tech,So,"Apr 23, 2003",Las Vegas (NV),Bishop Gorman High School
57,Jack Francis,G,6-3,190.0,Texas Tech,So,-,Austin (TX),Anderson High School
192,Joe Toussaint,G,6-0,190.0,Texas Tech,Sr,"Oct 6, 2000",Bronx (NY),Cardinal Hayes High School
198,C.J. Walker,SF,6-8,205.0,UCF,Sr,"Mar 29, 2001",Orlando (FL),Oak Ridge High School
202,Poohpha Warakulnukroh,G,5-11,180.0,UCF,Jr,-,Bangkok,Montverde Academy
12,Marchelus Avery,SF,6-8,205.0,UCF,Jr,-,Highland Springs (VA),Life Christian Academy
35,Johan Crafoord,F,6-9,230.0,UCF,Sr,"Apr 18, 2000",Stockholm,Brewster Academy
43,Ibrahima Diallo,C,7-0,220.0,UCF,Sr,-,Sarasota (FL),Prolific Prep
5,Shemarri Allen,G,6-4,200.0,UCF,Sr,-,Asheville (NC),T.C. Roberson High School
155,Omar Payne,PF,6-10,240.0,UCF,Sr,"Nov 2, 2000",Kissimmee (FL),Montverde Academy
73,Tyler Hendricks,GF,6-5,175.0,UCF,Fr,"Nov 22, 2003",Fort Lauderdale (FL),Calvary Christian Academy
184,Thierno Sylla,C,6-11,225.0,UCF,So,"Aug 31, 2003",Conakry,
85,Darius Johnson,G,6-1,190.0,UCF,Jr,"Feb 5, 2002",Frederick (MD),Episcopal School
136,Mintautas Mockus,GF,6-7,191.0,UCF,Fr,"Sep 14, 2003",Panevezys,
88,Antwann Jones,SG,6-6,220.0,UCF,Sr,"May 29, 1999",Tampa (FL),Oak Ridge High School
92,Michael Kalina,G,6-1,185.0,UCF,Fr,-,Boca Raton (FL),North Broward Preparatory School
172,Jaylin Sellers,G,6-4,180.0,UCF,Jr,-,Columbus (GA),George Washington Carver High School
50,Comeh Emuobor,SF,6-5,200.0,UCF,Fr,-,Raleigh (NC),Brewster Academy
104,"DeMarr Langford, Jr.",SG,6-5,210.0,UCF,Sr,-,Worcester (MA),Brewster Academy
122,Charlie May,F,6-5,190.0,UCF,Fr,-,Boca Raton (FL),Saint Andrew's School
116,Nils Machowski,GF,6-3,165.0,UCF,Fr,"Sep 21, 2004",Berlin,
52,Noah Farrakhan,PG,6-1,165.0,West Virginia,Jr,"Dec 3, 2000",Union (NJ),The Patrick School
214,Seth Wilson,PG,6-1,215.0,West Virginia,Jr,-,Westlake (OH),Lorain High School
4,Akok Akok,SF,6-10,225.0,West Virginia,Sr,"Oct 23, 1999",Manchester (NH),Putnam Science Academy
162,Ali Ragab,C,7-0,275.0,West Virginia,Jr,-,Cairo,Rocktop Academy
142,Ofri Naveh,F,6-6,190.0,West Virginia,Fr,"Apr 15, 2005",Neot Golan,
102,Kerr Kriisa,PG,6-3,190.0,West Virginia,Jr,"Jan 2, 2001",Tartu,
16,Jeremiah Bembry,GF,6-5,185.0,West Virginia,Fr,"Sep 2, 2002",Brooklyn (NY),Executive Education Academy Charter School
86,Kobe Johnson,PG,6-3,210.0,West Virginia,Jr,-,Canton (OH),Canton McKinley High School
177,Quinn Slazinski,F,6-9,215.0,West Virginia,Sr,"Mar 5, 2001",Houston (TX),Westbury Christian School
183,Patrick Suemnick,F,6-8,230.0,West Virginia,Jr,-,Denmark (WI),Bosco Institute
185,Aden Tagaloa-Nelson,G,6-1,197.0,West Virginia,Fr,-,Lexington (KY),Woodford County High School
48,Jesse Edwards,C,6-11,230.0,West Virginia,Sr,"Mar 18, 2000",Amsterdam,IMG Academy
15,RaeQuan Battle,G,6-5,190.0,West Virginia,Sr,"Feb 19, 2001",Marysville (WA),Marysville-Pilchuck High School
69,Josiah Harris,F,6-7,200.0,West Virginia,So,-,Cleveland (OH),Richmond Heights High School
