,Player,Pos,HT,WT,School,Class,Birth Date,Birth City,High School/Prep School
112,Langston Love,GF,6-5,210.0,Baylor,So,"Apr 21, 2002",Universal City (TX),Montverde Academy
134,Yves Missi,C,6-10,210.0,Baylor,Fr,"May 14, 2004",Yaounde,Prolific Prep
169,Austin Sacks,G,6-7,200.0,Baylor,Sr,-,Los Angeles (CA),Oakwood School
200,Ja'Kobe Walter,F,6-5,180.0,Baylor,Fr,"Sep 4, 2004",McKinney (TX),Link Year Prep
20,Jalen Bridges,SG,6-7,220.0,Baylor,Sr,"May 14, 2001",Fairmont (WV),Fairmont Senior High School
109,Miro Little,G,6-4,190.0,Baylor,Fr,"May 30, 2004",Tampere,Sunrise Christian Academy
41,RayJ Dennis,PG,6-2,185.0,Baylor,Sr,"Mar 30, 2001",Oswego (IL),Oswego East High School
143,Yanis Ndjonga,FC,6-8,210.0,Baylor,So,"Feb 19, 2001",Yaounde,
66,Dantwan Grimes,SG,6-2,190.0,Baylor,Sr,-,Ocala (FL),Vanguard High School
151,Joshua Ojianwuna,FC,6-10,230.0,Baylor,So,"Sep 13, 2003",Asaba,NBA Global Academy
147,Jayden Nunn,G,6-4,190.0,Baylor,Jr,"May 7, 2003",Flint (MI),Dream City Christian School
186,Jonathan Tchatchoua,FC,6-8,245.0,Baylor,Sr,"Apr 21, 1999",Douala,NBA Global Academy
3,Omar Adegbola,G,6-4,,Baylor,Fr,-,Houston (TX),Montverde Academy
110,Caleb Lohner,SG,6-8,235.0,Baylor,Sr,-,Flower Mound (TX),Wasatch Academy
194,Townsend Tripple,G,6-8,200.0,Brigham Young,So,-,Meridian (ID),Rocky Mountain High School
26,Tredyn Christensen,F,6-7,235.0,Brigham Young,Sr,-,Saratoga Springs (UT),Westlake High School
1,"Marcus Adams, Jr.",SF,6-8,220.0,Brigham Young,Fr,"Jan 15, 2005",Harbor City (CA),Narbonne High School
171,Richie Saunders,GF,6-5,200.0,Brigham Young,So,-,Riverton (UT),Wasatch Academy
101,Trevin Knell,SG,6-5,197.0,Brigham Young,Sr,-,Woods Cross (UT),Woods Cross High School
167,Jax Robinson,F,6-7,200.0,Brigham Young,Sr,"Dec 3, 2002",Ada (OK),Ada High School
181,Trey Stewart,SG,6-2,189.0,Brigham Young,Jr,-,American Fork (UT),American Fork High School
97,Aly Khalifa,C,6-11,230.0,Brigham Young,Jr,"Nov 22, 2001",Alexandria,
206,Noah Waterman,C,6-11,215.0,Brigham Young,Sr,"Apr 2, 2000",Savannah (NY),Finger Lakes Christian School
87,Spencer Johnson,SF,6-5,185.0,Brigham Young,Sr,"Sep 3, 1997",American Fork (UT),American Fork High School
193,Fousseyni Traore,G,6-6,254.0,Brigham Young,Jr,"Jan 22, 2002",Bamako,Wasatch Academy
13,Dawson Baker,GF,6-4,190.0,Brigham Young,Sr,-,Mission Viejo (CA),Capistrano Valley High School
11,Atiki Atiki,PF,6-10,213.0,Brigham Young,Jr,"Jan 12, 2001",Mwanza,
67,Dallin Hall,PG,6-4,180.0,Brigham Young,So,-,Highland (UT),Fremont High School
72,Tanner Hayhurst,G,6-6,210.0,Brigham Young,Fr,-,Eagle (ID),Eagle High School
129,Jared McGregor,G,6-3,185.0,Brigham Young,So,-,Saratoga Springs (UT),Westlake High School
111,Landen Long,G,5-11,185.0,Cincinnati,Sr,-,Mason (OH),Mason High School
103,Viktor Lakhin,F,6-11,240.0,Cincinnati,Sr,"Jul 30, 2001",Anapa,
99,Chase Kirkwood,G,6-1,195.0,Cincinnati,Jr,-,Phoenix (MD),Friends School-Baltimore
65,Rayvon Griffith,SF,6-7,180.0,Cincinnati,Fr,"Oct 10, 2004",Cincinnati (OH),AZ Compass Prep
188,Day Day Thomas,SG,6-0,190.0,Cincinnati,Jr,-,Bishopville (SC),Lee Central High School
176,Daniel Skillings,SG,6-6,205.0,Cincinnati,So,-,Philadelphia (PA),Roman Catholic High School for Boys
191,Sage Tolentino,C,7-1,230.0,Cincinnati,So,-,Hamilton (OH),Hamilton High School
58,C.J. Fredrick,SG,6-3,185.0,Cincinnati,Sr,"Jul 10, 1999",Alexandria (KY),Covington Catholic High School
80,"Jizzle James, Jr.",G,6-1,180.0,Cincinnati,Fr,"Dec 25, 2004",Orlando (FL),Olympia High School
114,Simas Lukosius,G,6-8,225.0,Cincinnati,Jr,"Aug 13, 2002",Kaunas,
14,Aziz Bandaogo,FC,7-0,230.0,Cincinnati,Jr,"Jan 18, 2001",Joal Fadiout,NBA Academy Africa
9,C.J. Anthony,G,6-0,195.0,Cincinnati,Jr,-,Canal Winchester (OH),Harvest Preparatory School
163,Josh Reed,C,6-7,220.0,Cincinnati,So,-,Atlanta (GA),Pace Academy
145,John Newman,SG,6-5,205.0,Cincinnati,Sr,"Aug 2, 1999",Greensboro (NC),Greensboro Day School
164,Jamille Reynolds,F,6-10,280.0,Cincinnati,Sr,"Apr 26, 2002",St. Petersburg (FL),Lakewood High School
150,Ody Oguama,F,6-9,225.0,Cincinnati,Sr,"Nov 25, 1999",Woodstock (CT),Woodstock Academy
128,Jacob McFarland,C,6-11,220.0,Houston,Fr,-,Moreno Valley (CA),Rancho Verde High School
82,Kordelius Jefferson,C,6-3,180.0,Houston,Fr,-,Arlington (TX),Martin High School
